latitude,longitude,depth,temperature,salinity
53.800335,-9.866966,26.654517,9.3087579,34.15542689
53.800335,-9.866966,26.95230001,9.308661469,34.15487563
53.800335,-9.866966,27.25008347,9.311167215,34.14892047
53.800335,-9.866966,27.54786621,9.31207696,34.15891545
53.800335,-9.866966,27.84564874,9.313170978,34.14825912
53.800335,-9.866966,28.143431,9.312784001,34.1584037
53.800335,-9.866966,28.42027769,9.316493998,34.14959545
53.7999907,-9.7769698,0.148936403,9.431538582,33.96727506
53.7999907,-9.7769698,0.446790101,9.426723517,33.98452765
53.7999907,-9.7769698,0.744647773,9.417849761,33.97569216
53.7999907,-9.7769698,1.042506178,9.415376235,33.97270959
53.7999907,-9.7769698,1.340363429,9.41135719,33.98152589
53.7999907,-9.7769698,1.638218448,9.399144309,33.98600761
53.7999907,-9.7769698,1.93607284,9.400572832,33.98182406
53.7999907,-9.7769698,2.233927603,9.399697937,33.97985753
53.7999907,-9.7769698,2.531782103,9.393691986,33.97972227
53.7999907,-9.7769698,2.829635414,9.386114553,33.98451812
53.7999907,-9.7769698,3.127486669,9.379785834,33.9919573
53.7999907,-9.7769698,3.425336739,9.377180659,33.99011753
53.7999907,-9.7769698,3.72318611,9.374564187,33.99404355
53.7999907,-9.7769698,4.021034903,9.372007313,33.99113893
53.7999907,-9.7769698,4.318883213,9.371167131,33.99461104
53.7999907,-9.7769698,4.616730588,9.369422062,33.9958506
53.7999907,-9.7769698,4.914577404,9.367445431,33.99577654
53.7999907,-9.7769698,5.212423783,9.366960698,33.99620447
53.7999907,-9.7769698,5.51026987,9.367896245,33.99545786
53.7999907,-9.7769698,5.808115751,9.365074199,33.99463129
53.7999907,-9.7769698,6.105961394,9.364509583,33.99386709
53.7999907,-9.7769698,6.403806868,9.363263896,33.99275457
53.7999907,-9.7769698,6.701651986,9.359789588,33.99303834
53.7999907,-9.7769698,6.999495948,9.358811375,33.99902784
53.7999907,-9.7769698,7.297339127,9.357252179,33.99642746
53.7999907,-9.7769698,7.595182545,9.355345588,33.99320567
53.7999907,-9.7769698,7.893025388,9.353533813,33.99774006
53.7999907,-9.7769698,8.190866949,9.352587532,34.00093825
53.7999907,-9.7769698,8.48870811,9.35287714,33.99814347
53.7999907,-9.7769698,8.786549812,9.350189315,33.99268064
53.7999907,-9.7769698,9.084391627,9.344001512,33.99232344
53.7999907,-9.7769698,9.382231943,9.339535349,34.0006858
53.7999907,-9.7769698,9.680071038,9.33658017,33.99855114
53.7999907,-9.7769698,9.977910112,9.334828854,33.99690686
53.7999907,-9.7769698,10.27574838,9.33400246,34.00209425
53.7999907,-9.7769698,10.57358553,9.331185767,34.00306253
53.7999907,-9.7769698,10.87142239,9.328386879,34.00054354
53.7999907,-9.7769698,11.16925921,9.327196587,33.99947766
53.7999907,-9.7769698,11.46709584,9.327624786,33.99917995
53.7999907,-9.7769698,11.76493176,9.324649676,34.0021963
53.7999907,-9.7769698,12.06276699,9.323163586,34.00130596
53.7999907,-9.7769698,12.36060164,9.323001807,34.0040026
53.7999907,-9.7769698,12.65843544,9.322115243,34.0056061
53.7999907,-9.7769698,12.95626877,9.320460037,34.00458169
53.7999907,-9.7769698,13.254102,9.318552057,34.00274708
53.7999907,-9.7769698,13.55193494,9.316649416,34.00346321
53.7999907,-9.7769698,13.84976708,9.31571017,34.00612355
53.7999907,-9.7769698,14.14759814,9.313226113,34.00932789
